FID,compriment_via,largura_via,velocid_limite,fluxo_carros,velocid_carros
383,61.06,2,50,279,66
384,61.06,2,50,279,66
385,92,2,50,355,36
386,92,2,50,355,36
387,103.87,2,50,279,66
388,103.87,2,50,279,66
389,60.91,2,50,279,66
390,60.91,2,50,279,66
391,105.98,2,50,279,66
392,105.98,2,50,279,66
393,18.63,1,50,443,39
394,86.75,1,50,443,39
395,29.57,3,50,268.5,26.5
396,29.57,3,50,268.5,26.5
397,209.99,3,50,309.5,50
398,209.99,3,50,309.5,50
399,209.99,3,50,309.5,50
400,210.09,3,50,309.5,50
401,210.09,3,50,309.5,50
402,210.09,3,50,309.5,50
403,180.12,3,50,308.3333333333333,62.666666666666664
404,180.12,3,50,308.3333333333333,62.666666666666664
405,180.12,3,50,308.3333333333333,62.666666666666664
406,129.12,2,60,463,52.5
407,129.12,2,60,463,52.5
408,164.44,3,60,463,52.5
409,164.44,3,60,463,52.5
410,38.42,2,50,327.5,54
411,38.42,2,50,327.5,54
412,18,2,50,327.5,54
413,18,2,50,327.5,54
414,129.51,3,50,381.5,52
415,129.51,3,50,381.5,52
416,105.64,2,50,416.2,45.6
417,105.64,2,50,416.2,45.6
418,105.64,2,50,416.2,45.6
419,48.21,3,70,296.5,55.5
420,48.21,3,70,296.5,55.5
421,43.54,3,70,296.5,55.5
422,43.54,3,70,296.5,55.5
423,148.5,2,50,298,46.5
424,148.5,2,50,298,46.5
425,147.17,2,50,298,46.5
426,147.17,2,50,298,46.5
427,93.86,2,50,261,45
428,93.86,2,50,261,45
429,92.17,3,50,261,45
430,92.17,3,50,261,45
431,82.28,4,50,360,52.5
432,82.28,4,50,360,52.5
433,260.87,2,50,513.6,54
434,260.87,2,50,513.6,54
435,260.87,2,50,513.6,54
436,260.87,2,50,513.6,54
437,260.87,2,50,513.6,54
438,48.24,2,30,351.5,25.5
439,48.24,2,30,351.5,25.5
440,48.24,2,30,351.5,25.5
441,48.24,2,30,351.5,25.5
442,48.49,2,30,351.5,25.5
443,48.49,2,30,351.5,25.5
444,48.49,2,30,351.5,25.5
445,48.49,2,30,351.5,25.5
446,105.32,2,50,234.25,27.5
447,105.32,2,50,234.25,27.5
448,125.5,3,50,374.3333333333333,38.666666666666664
449,125.5,3,50,374.3333333333333,38.666666666666664
450,125.5,3,50,374.3333333333333,38.666666666666664
451,126.79,3,50,374.3333333333333,38.666666666666664
452,126.79,3,50,374.3333333333333,38.666666666666664
453,126.79,3,50,374.3333333333333,38.666666666666664
454,102.31,3,50,454.6666666666667,44.333333333333336
455,102.31,3,50,454.6666666666667,44.333333333333336
456,102.31,3,50,454.6666666666667,44.333333333333336
457,51.71,4,50,474,45.5
458,51.71,4,50,474,45.5
459,58.91,2,50,508,48.5
460,58.91,2,50,508,48.5
461,11.4,3,50,428.5,45.5
462,11.4,3,50,428.5,45.5
463,110.12,3,50,428.5,45.5
464,110.12,3,50,428.5,45.5
465,100.11,2,50,450,45
466,100.11,2,50,450,45
467,94.17,2,50,508,48.5
468,94.17,2,50,508,48.5
469,15.99,3,50,1148.75,60.5
470,15.99,3,50,1148.75,60.5
471,15.99,3,50,1148.75,60.5
472,15.99,3,50,1148.75,60.5
473,37.62,2,50,1148.75,60.5
474,37.62,2,50,1148.75,60.5
475,33.57,2,50,1148.75,60.5
476,33.57,2,50,1148.75,60.5
477,33.57,2,50,1148.75,60.5
478,33.57,2,50,1148.75,60.5
479,199.49,2,50,539.5,38
480,199.49,2,50,539.5,38
481,29.49,4,50,831,41
482,29.49,4,50,831,41
483,181.19,2,50,318.3333333333333,43.333333333333336
484,181.19,2,50,318.3333333333333,43.333333333333336
485,181.19,2,50,318.3333333333333,43.333333333333336
486,177.57,3,50,318.3333333333333,43.333333333333336
487,177.57,3,50,318.3333333333333,43.333333333333336
488,177.57,3,50,318.3333333333333,43.333333333333336
489,126.31,2,50,317,41
490,126.31,2,50,317,41
491,75.92,1,30,617.5,28.5
492,75.92,1,30,617.5,28.5
493,75.92,1,30,617.5,28.5
494,75.92,1,30,617.5,28.5
495,392.25,2,50,562.2,52.8
496,392.25,2,50,562.2,52.8
497,392.25,2,50,562.2,52.8
498,392.25,2,50,562.2,52.8
499,392.25,2,50,562.2,52.8
500,136.11,4,50,436.5,56
501,136.11,4,50,436.5,56
502,74.3,3,50,369.3333333333333,32.666666666666664
503,74.3,3,50,369.3333333333333,32.666666666666664
504,74.3,3,50,369.3333333333333,32.666666666666664
505,107.22,3,50,354,39.166666666666664
506,107.22,3,50,354,39.166666666666664
507,107.22,3,50,354,39.166666666666664
508,101.23,2,50,462.5,39
509,101.23,2,50,462.5,39
510,45.22,3,30,313.3333333333333,32
511,45.22,3,30,313.3333333333333,32
512,45.22,3,30,313.3333333333333,32
513,140.3,2,50,513.6,54
514,140.3,2,50,513.6,54
515,140.3,2,50,513.6,54
516,140.3,2,50,513.6,54
517,140.3,2,50,513.6,54
518,259.97,2,50,562.2,52.8
519,259.97,2,50,562.2,52.8
520,259.97,2,50,562.2,52.8
521,259.97,2,50,562.2,52.8
522,12.63,3,50,268.5,26.5
523,12.63,3,50,268.5,26.5
524,11.09,3,50,268.5,26.5
525,11.09,3,50,268.5,26.5
526,32.58,2,50,470,21.5
527,32.58,2,50,470,21.5
528,45.8,2,50,470,21.5
529,45.8,2,50,470,21.5
530,14.67,2,50,470,21.5
531,14.67,2,50,470,21.5
532,14.55,2,50,343.5,45.75
533,14.55,2,50,343.5,45.75
534,14.55,2,50,343.5,45.75
535,14.55,2,50,343.5,45.75
536,41.21,2,30,367.5,30
537,41.21,2,30,367.5,30
538,178.35,2,50,315.5,51.5
539,178.35,2,50,315.5,51.5
540,38.08,5,50,423,38.5
541,38.08,5,50,423,38.5
542,57.33,4,50,332,37.2
543,57.33,4,50,332,37.2
544,57.33,4,50,332,37.2
545,57.33,4,50,332,37.2
546,57.33,4,50,332,37.2
547,57.33,4,50,332,37.2
548,47.82,3,50,242.66666666666663,31.666666666666668
549,47.82,3,50,242.66666666666663,31.666666666666668
550,47.82,3,50,242.66666666666663,31.666666666666668
551,15.72,3,50,242.66666666666663,31.666666666666668
552,15.72,3,50,242.66666666666663,31.666666666666668
553,15.72,3,50,242.66666666666663,31.666666666666668
554,41.64,2,50,502.75,41.25
555,41.64,2,50,502.75,41.25
556,124.47,4,50,544,29.5
557,124.47,4,50,544,29.5
558,43.92,4,50,831,41
559,43.92,4,50,831,41
560,37.43,4,50,250.66666666666663,35
561,37.43,4,50,250.66666666666663,35
562,37.43,4,50,250.66666666666663,35
563,28.6,3,50,176.5,11.5
564,28.6,3,50,176.5,11.5
565,28.6,3,50,176.5,11.5
566,50.61,3,50,273,22.5
567,50.61,3,50,273,22.5
568,215.04,3,50,309.6666666666667,56.666666666666664
569,215.04,3,50,309.6666666666667,56.666666666666664
570,54.35,3,50,523.5,42.5
571,54.35,3,50,523.5,42.5
572,142.59,2,50,489.5,33.5
573,142.59,2,50,489.5,33.5
574,177.02,2,50,365,50.25
575,177.02,2,50,365,50.25
576,177.02,2,50,365,50.25
577,177.02,2,50,365,50.25
578,19.53,2,50,182.5,14.5
579,19.53,2,50,182.5,14.5
580,32.24,2,50,182.5,14.5
581,32.24,2,50,182.5,14.5
582,188.03,4,50,308.3333333333333,62.666666666666664
583,188.03,4,50,308.3333333333333,62.666666666666664
584,188.03,4,50,308.3333333333333,62.666666666666664
585,176.54,3,50,308.3333333333333,62.666666666666664
586,176.54,3,50,308.3333333333333,62.666666666666664
587,176.54,3,50,308.3333333333333,62.666666666666664
588,179.09,3,50,355.6666666666667,47.333333333333336
589,179.09,3,50,355.6666666666667,47.333333333333336
590,179.09,3,50,355.6666666666667,47.333333333333336
591,53.76,3,50,242.66666666666663,31.666666666666668
592,53.76,3,50,242.66666666666663,31.666666666666668
593,53.76,3,50,242.66666666666663,31.666666666666668
594,60.48,4,50,565.6666666666666,34.666666666666664
595,60.48,4,50,565.6666666666666,34.666666666666664
596,60.48,4,50,565.6666666666666,34.666666666666664
597,60.48,4,50,565.6666666666666,34.666666666666664
598,60.48,4,50,565.6666666666666,34.666666666666664
599,60.48,4,50,565.6666666666666,34.666666666666664
600,119.46,2,50,258,44
601,39.41,2,50,258,44
602,27.76,4,50,332,37.2
603,27.76,4,50,332,37.2
604,27.76,4,50,332,37.2
605,11.04,2,50,317.5,47
606,11.04,2,50,317.5,47
607,16.62,2,50,447,40.333333333333336
608,16.62,2,50,447,40.333333333333336
609,16.62,2,50,447,40.333333333333336
610,37.92,2,50,447,40.333333333333336
611,37.92,2,50,447,40.333333333333336
612,37.92,2,50,447,40.333333333333336
613,88.02,3,50,337.6666666666667,49.666666666666664
614,88.02,3,50,337.6666666666667,49.666666666666664
615,88.02,3,50,337.6666666666667,49.666666666666664
616,22.8,3,70,205,23
617,22.8,3,70,205,23
618,22.8,3,70,205,23
619,37.99,3,70,205,23
620,37.99,3,70,205,23
621,37.99,3,70,205,23
622,43.49,2,50,404.5,46.5
623,43.49,2,50,404.5,46.5
624,71.57,2,50,85.5,52
625,72.17,2,50,301,44
626,72.17,2,50,301,44
627,137.91,2,50,321.3333333333333,55.666666666666664
628,137.91,2,50,321.3333333333333,55.666666666666664
629,137.91,2,50,321.3333333333333,55.666666666666664
630,8.61,3,50,296.3333333333333,40
631,8.61,3,50,296.3333333333333,40
632,8.61,3,50,296.3333333333333,40
633,182.27,3,50,296.3333333333333,40
634,182.27,3,50,296.3333333333333,40
635,182.27,3,50,296.3333333333333,40
636,56.65,1,30,425.5,28.5
637,56.65,1,30,425.5,28.5
638,24.63,1,30,425.5,28.5
639,24.63,1,30,425.5,28.5
640,51.01,1,30,425.5,28.5
641,51.01,1,30,425.5,28.5
642,80.91,3,30,164.5,39
643,80.91,3,30,164.5,39
644,80.91,3,30,164.5,39
645,80.91,3,30,164.5,39
646,80.91,3,30,164.5,39
647,63.76,3,50,206.33333333333337,51.333333333333336
648,63.76,3,50,206.33333333333337,51.333333333333336
649,63.76,3,50,206.33333333333337,51.333333333333336
650,59.77,2,50,206.33333333333337,51.333333333333336
651,59.77,2,50,206.33333333333337,51.333333333333336
652,59.77,2,50,206.33333333333337,51.333333333333336
653,70.62,2,50,127,43
654,70.62,2,50,127,43
655,206.82,3,50,497.1666666666667,36.666666666666664
656,206.82,3,50,497.1666666666667,36.666666666666664
657,206.82,3,50,497.1666666666667,36.666666666666664
658,206.82,3,50,497.1666666666667,36.666666666666664
659,206.82,3,50,497.1666666666667,36.666666666666664
660,206.82,3,50,497.1666666666667,36.666666666666664
661,200.34,3,50,355.6666666666667,47.333333333333336
662,200.34,3,50,355.6666666666667,47.333333333333336
663,200.34,3,50,355.6666666666667,47.333333333333336
664,198.42,3,50,355.6666666666667,47.333333333333336
665,198.42,3,50,355.6666666666667,47.333333333333336
666,198.42,3,50,355.6666666666667,47.333333333333336
667,95.56,3,50,164.5,39
668,95.56,3,50,164.5,39
669,95.56,3,50,164.5,39
670,95.56,3,50,164.5,39
671,95.56,3,50,164.5,39
672,41.07,3,50,164.5,39
673,207.36,3,50,497.1666666666667,36.666666666666664
674,207.36,3,50,497.1666666666667,36.666666666666664
675,207.36,3,50,497.1666666666667,36.666666666666664
676,207.36,3,50,497.1666666666667,36.666666666666664
677,207.36,3,50,497.1666666666667,36.666666666666664
678,207.36,3,50,497.1666666666667,36.666666666666664
679,41.3,3,70,205,23
680,41.3,3,70,205,23
681,41.3,3,70,205,23
682,30.91,3,50,205,23
683,30.91,3,50,205,23
684,30.91,3,50,205,23
685,145.98,4,30,428,36
686,145.98,4,30,428,36
687,43.69,4,30,293.3333333333333,32.666666666666664
688,43.69,4,30,293.3333333333333,32.666666666666664
689,43.69,4,30,293.3333333333333,32.666666666666664
690,42.26,3,30,293.3333333333333,32.666666666666664
691,42.26,3,30,293.3333333333333,32.666666666666664
692,159.55,2,50,390.75,36.75
693,159.55,2,50,390.75,36.75
694,159.55,2,50,390.75,36.75
695,159.55,2,50,390.75,36.75
696,156.95,2,50,390.75,36.75
697,156.95,2,50,390.75,36.75
698,156.95,2,50,390.75,36.75
699,156.95,2,50,390.75,36.75
700,101.65,2,50,502.75,41.25
701,101.65,2,50,502.75,41.25
702,101.65,2,50,502.75,41.25
