station,date,Latitude,Longitude,airT,ur
Alecrim,2025-02-28 21:00:00,-5.79807,-35.21727,26.5,81.8
DIM,2025-02-28 21:00:00,-5.87995,-35.29499,23.7,NA
EAJ,2025-02-28 21:00:00,-5.88395,-35.36455,23.5,97.1
Extremoz,2025-02-28 21:00:00,-5.66732,-35.29729,24.2,NA
Felipe camarao,2025-02-28 21:00:00,-5.82232,-35.26118,25,90.7
IF Central,2025-02-28 21:00:00,-5.81187,-35.20221,26.2,89.5
IFZN,2025-02-28 21:00:00,-5.74779,-35.26025,25.5,83.1
Lagoa Azul,2025-02-28 21:00:00,-5.72888,-35.2489,24.6,NA
Parnamirim,2025-02-28 21:00:00,-5.93898,-35.266639,24.2,NA
Ponta Negra,2025-02-28 21:00:00,-5.87605,-35.17857,26.9,86.5
Oceanografia,2025-02-28 21:00:00,-5.79524,-35.18359,27.5,85.3
Alecrim,2025-02-28 22:00:00,-5.79807,-35.21727,26.1,89.6
DIM,2025-02-28 22:00:00,-5.87995,-35.29499,24,NA
EAJ,2025-02-28 22:00:00,-5.88395,-35.36455,23.9,98.2
Extremoz,2025-02-28 22:00:00,-5.66732,-35.29729,24.1,NA
Felipe camarao,2025-02-28 22:00:00,-5.82232,-35.26118,25.5,92
IF Central,2025-02-28 22:00:00,-5.81187,-35.20221,26.8,90.7
IFZN,2025-02-28 22:00:00,-5.74779,-35.26025,25.7,84.2
Lagoa Azul,2025-02-28 22:00:00,-5.72888,-35.2489,24.7,NA
Parnamirim,2025-02-28 22:00:00,-5.93898,-35.266639,24.7,NA
Ponta Negra,2025-02-28 22:00:00,-5.87605,-35.17857,26.9,82.1
Oceanografia,2025-02-28 22:00:00,-5.79524,-35.18359,27.3,87.6
Alecrim,2025-02-28 23:00:00,-5.79807,-35.21727,24.4,92.9
DIM,2025-02-28 23:00:00,-5.87995,-35.29499,24.1,NA
EAJ,2025-02-28 23:00:00,-5.88395,-35.36455,24,98
Extremoz,2025-02-28 23:00:00,-5.66732,-35.29729,23.9,NA
Felipe camarao,2025-02-28 23:00:00,-5.82232,-35.26118,24.8,92.4
IF Central,2025-02-28 23:00:00,-5.81187,-35.20221,24.8,97
IFZN,2025-02-28 23:00:00,-5.74779,-35.26025,24.9,90
Lagoa Azul,2025-02-28 23:00:00,-5.72888,-35.2489,23.7,NA
Parnamirim,2025-02-28 23:00:00,-5.93898,-35.266639,24.5,NA
Ponta Negra,2025-02-28 23:00:00,-5.87605,-35.17857,26,88.3
Oceanografia,2025-02-28 23:00:00,-5.79524,-35.18359,25.8,92
Alecrim,2025-03-01 00:00:00,-5.79807,-35.21727,25.8,91.9
DIM,2025-03-01 00:00:00,-5.87995,-35.29499,23.9,NA
EAJ,2025-03-01 00:00:00,-5.88395,-35.36455,24,98.7
Extremoz,2025-03-01 00:00:00,-5.66732,-35.29729,23.7,NA
Felipe camarao,2025-03-01 00:00:00,-5.82232,-35.26118,24.7,94.1
IF Central,2025-03-01 00:00:00,-5.81187,-35.20221,25.6,96.4
IFZN,2025-03-01 00:00:00,-5.74779,-35.26025,24.8,89.2
Lagoa Azul,2025-03-01 00:00:00,-5.72888,-35.2489,23.9,NA
Parnamirim,2025-03-01 00:00:00,-5.93898,-35.266639,24.1,NA
Ponta Negra,2025-03-01 00:00:00,-5.87605,-35.17857,26.3,86.9
Oceanografia,2025-03-01 00:00:00,-5.79524,-35.18359,26.9,89.2
Alecrim,2025-03-01 01:00:00,-5.79807,-35.21727,25.8,91
DIM,2025-03-01 01:00:00,-5.87995,-35.29499,23.8,NA
EAJ,2025-03-01 01:00:00,-5.88395,-35.36455,23.4,98.8
Extremoz,2025-03-01 01:00:00,-5.66732,-35.29729,23.8,NA
Felipe camarao,2025-03-01 01:00:00,-5.82232,-35.26118,24.8,93.6
IF Central,2025-03-01 01:00:00,-5.81187,-35.20221,25.8,95.1
IFZN,2025-03-01 01:00:00,-5.74779,-35.26025,24.9,89.2
Lagoa Azul,2025-03-01 01:00:00,-5.72888,-35.2489,24.1,NA
Parnamirim,2025-03-01 01:00:00,-5.93898,-35.266639,24.1,NA
Ponta Negra,2025-03-01 01:00:00,-5.87605,-35.17857,26.5,87.8
Oceanografia,2025-03-01 01:00:00,-5.79524,-35.18359,27.3,87.4
Alecrim,2025-03-01 02:00:00,-5.79807,-35.21727,24.9,89.3
DIM,2025-03-01 02:00:00,-5.87995,-35.29499,23.8,NA
EAJ,2025-03-01 02:00:00,-5.88395,-35.36455,23.5,99.2
Extremoz,2025-03-01 02:00:00,-5.66732,-35.29729,24.1,NA
