station,date,Latitude,Longitude,airT,ur
Alecrim,2025-03-06 09:00:00,-5.79807,-35.21727,32.5,56.1
DIM,2025-03-06 09:00:00,-5.87995,-35.29499,30.5,NA
EAJ,2025-03-06 09:00:00,-5.88395,-35.36455,31.9,63.5
Extremoz,2025-03-06 09:00:00,-5.66732,-35.29729,32.6,NA
Felipe camarao,2025-03-06 09:00:00,-5.82232,-35.26118,30.7,64.6
IF Central,2025-03-06 09:00:00,-5.81187,-35.20221,33,65
IFZN,2025-03-06 09:00:00,-5.74779,-35.26025,30.2,62.4
Lagoa Azul,2025-03-06 09:00:00,-5.72888,-35.2489,30.6,NA
Parnamirim,2025-03-06 09:00:00,-5.93898,-35.266639,31.6,NA
Ponta Negra,2025-03-06 09:00:00,-5.87605,-35.17857,30.2,NA
Oceanografia,2025-03-06 09:00:00,-5.79524,-35.18359,31.8,65
Alecrim,2025-03-06 10:00:00,-5.79807,-35.21727,31.9,58
DIM,2025-03-06 10:00:00,-5.87995,-35.29499,32.5,NA
EAJ,2025-03-06 10:00:00,-5.88395,-35.36455,36,54.6
Extremoz,2025-03-06 10:00:00,-5.66732,-35.29729,33,NA
Felipe camarao,2025-03-06 10:00:00,-5.82232,-35.26118,32.1,60.5
IF Central,2025-03-06 10:00:00,-5.81187,-35.20221,33.4,64.3
IFZN,2025-03-06 10:00:00,-5.74779,-35.26025,31.6,56.2
Lagoa Azul,2025-03-06 10:00:00,-5.72888,-35.2489,31.5,NA
Parnamirim,2025-03-06 10:00:00,-5.93898,-35.266639,34,NA
Ponta Negra,2025-03-06 10:00:00,-5.87605,-35.17857,31.5,NA
Oceanografia,2025-03-06 10:00:00,-5.79524,-35.18359,34.6,59.8
Alecrim,2025-03-06 11:00:00,-5.79807,-35.21727,32.4,56.4
DIM,2025-03-06 11:00:00,-5.87995,-35.29499,34.8,NA
EAJ,2025-03-06 11:00:00,-5.88395,-35.36455,36.2,55.1
Extremoz,2025-03-06 11:00:00,-5.66732,-35.29729,33.2,NA
Felipe camarao,2025-03-06 11:00:00,-5.82232,-35.26118,32.3,61.3
IF Central,2025-03-06 11:00:00,-5.81187,-35.20221,33.8,62.5
IFZN,2025-03-06 11:00:00,-5.74779,-35.26025,32.1,56.1
Lagoa Azul,2025-03-06 11:00:00,-5.72888,-35.2489,32.2,NA
Parnamirim,2025-03-06 11:00:00,-5.93898,-35.266639,34.3,NA
Ponta Negra,2025-03-06 11:00:00,-5.87605,-35.17857,32.1,NA
Oceanografia,2025-03-06 11:00:00,-5.79524,-35.18359,34.5,58.9
Alecrim,2025-03-06 12:00:00,-5.79807,-35.21727,33.1,57.9
DIM,2025-03-06 12:00:00,-5.87995,-35.29499,34.4,NA
EAJ,2025-03-06 12:00:00,-5.88395,-35.36455,35.9,55
Extremoz,2025-03-06 12:00:00,-5.66732,-35.29729,34.4,NA
Felipe camarao,2025-03-06 12:00:00,-5.82232,-35.26118,32.5,56.8
IF Central,2025-03-06 12:00:00,-5.81187,-35.20221,36.4,58.5
IFZN,2025-03-06 12:00:00,-5.74779,-35.26025,32.2,57.5
Lagoa Azul,2025-03-06 12:00:00,-5.72888,-35.2489,33.4,NA
Parnamirim,2025-03-06 12:00:00,-5.93898,-35.266639,34.7,NA
Ponta Negra,2025-03-06 12:00:00,-5.87605,-35.17857,30.4,NA
Oceanografia,2025-03-06 12:00:00,-5.79524,-35.18359,34.3,59.2
Alecrim,2025-03-06 13:00:00,-5.79807,-35.21727,31.2,62.9
DIM,2025-03-06 13:00:00,-5.87995,-35.29499,36.2,NA
EAJ,2025-03-06 13:00:00,-5.88395,-35.36455,37.1,54.4
Extremoz,2025-03-06 13:00:00,-5.66732,-35.29729,35.1,NA
Felipe camarao,2025-03-06 13:00:00,-5.82232,-35.26118,33.1,53.6
IF Central,2025-03-06 13:00:00,-5.81187,-35.20221,35,59.9
IFZN,2025-03-06 13:00:00,-5.74779,-35.26025,33,55.9
Lagoa Azul,2025-03-06 13:00:00,-5.72888,-35.2489,33.6,NA
Parnamirim,2025-03-06 13:00:00,-5.93898,-35.266639,34.3,NA
Ponta Negra,2025-03-06 13:00:00,-5.87605,-35.17857,30.1,NA
Oceanografia,2025-03-06 13:00:00,-5.79524,-35.18359,34.7,55.1
Alecrim,2025-03-06 14:00:00,-5.79807,-35.21727,30.5,66.1
DIM,2025-03-06 14:00:00,-5.87995,-35.29499,34.1,NA
EAJ,2025-03-06 14:00:00,-5.88395,-35.36455,34.2,60.2
Extremoz,2025-03-06 14:00:00,-5.66732,-35.29729,32.4,NA
Felipe camarao,2025-03-06 14:00:00,-5.82232,-35.26118,31.9,61.2
IF Central,2025-03-06 14:00:00,-5.81187,-35.20221,32.9,66.9
IFZN,2025-03-06 14:00:00,-5.74779,-35.26025,32.4,57.7
Lagoa Azul,2025-03-06 14:00:00,-5.72888,-35.2489,34.1,NA
Parnamirim,2025-03-06 14:00:00,-5.93898,-35.266639,32.3,NA
Ponta Negra,2025-03-06 14:00:00,-5.87605,-35.17857,29.8,NA
Oceanografia,2025-03-06 14:00:00,-5.79524,-35.18359,34.2,55.9
Alecrim,2025-03-06 15:00:00,-5.79807,-35.21727,30.4,67.9
DIM,2025-03-06 15:00:00,-5.87995,-35.29499,33.2,NA
EAJ,2025-03-06 15:00:00,-5.88395,-35.36455,33.7,61
Extremoz,2025-03-06 15:00:00,-5.66732,-35.29729,31.9,NA
Felipe camarao,2025-03-06 15:00:00,-5.82232,-35.26118,31.2,63.7
IF Central,2025-03-06 15:00:00,-5.81187,-35.20221,32.4,68.6
IFZN,2025-03-06 15:00:00,-5.74779,-35.26025,31,62.2
Lagoa Azul,2025-03-06 15:00:00,-5.72888,-35.2489,32.6,NA
Parnamirim,2025-03-06 15:00:00,-5.93898,-35.266639,33,NA
Ponta Negra,2025-03-06 15:00:00,-5.87605,-35.17857,30.2,NA
Oceanografia,2025-03-06 15:00:00,-5.79524,-35.18359,32.2,61.6
Alecrim,2025-03-06 16:00:00,-5.79807,-35.21727,30.5,67.7
DIM,2025-03-06 16:00:00,-5.87995,-35.29499,31.2,NA
EAJ,2025-03-06 16:00:00,-5.88395,-35.36455,31.5,67.1
Extremoz,2025-03-06 16:00:00,-5.66732,-35.29729,30.6,NA
Felipe camarao,2025-03-06 16:00:00,-5.82232,-35.26118,30.4,67.5
IF Central,2025-03-06 16:00:00,-5.81187,-35.20221,32,69.8
IFZN,2025-03-06 16:00:00,-5.74779,-35.26025,30.3,63.9
Lagoa Azul,2025-03-06 16:00:00,-5.72888,-35.2489,30.5,NA
Parnamirim,2025-03-06 16:00:00,-5.93898,-35.266639,31.2,NA
Ponta Negra,2025-03-06 16:00:00,-5.87605,-35.17857,29.5,NA
Oceanografia,2025-03-06 16:00:00,-5.79524,-35.18359,32.5,59.5
Alecrim,2025-03-06 17:00:00,-5.79807,-35.21727,29.7,65.6
DIM,2025-03-06 17:00:00,-5.87995,-35.29499,29.8,NA
EAJ,2025-03-06 17:00:00,-5.88395,-35.36455,31.1,68.9
Extremoz,2025-03-06 17:00:00,-5.66732,-35.29729,29.3,NA
Felipe camarao,2025-03-06 17:00:00,-5.82232,-35.26118,29.6,69.4
IF Central,2025-03-06 17:00:00,-5.81187,-35.20221,30,72.4
IFZN,2025-03-06 17:00:00,-5.74779,-35.26025,29.7,63.4
Lagoa Azul,2025-03-06 17:00:00,-5.72888,-35.2489,29.5,NA
Parnamirim,2025-03-06 17:00:00,-5.93898,-35.266639,30.7,NA
Ponta Negra,2025-03-06 17:00:00,-5.87605,-35.17857,29.1,NA
Oceanografia,2025-03-06 17:00:00,-5.79524,-35.18359,30.1,69.3
Alecrim,2025-03-06 18:00:00,-5.79807,-35.21727,28.9,71.8
DIM,2025-03-06 18:00:00,-5.87995,-35.29499,27.7,NA
EAJ,2025-03-06 18:00:00,-5.88395,-35.36455,27.5,78.8
Extremoz,2025-03-06 18:00:00,-5.66732,-35.29729,28.3,NA
Felipe camarao,2025-03-06 18:00:00,-5.82232,-35.26118,28.8,72.5
IF Central,2025-03-06 18:00:00,-5.81187,-35.20221,28.9,77.5
IFZN,2025-03-06 18:00:00,-5.74779,-35.26025,29,67.3
Lagoa Azul,2025-03-06 18:00:00,-5.72888,-35.2489,28.6,NA
Parnamirim,2025-03-06 18:00:00,-5.93898,-35.266639,28.2,NA
Ponta Negra,2025-03-06 18:00:00,-5.87605,-35.17857,28.4,NA
Oceanografia,2025-03-06 18:00:00,-5.79524,-35.18359,29,76
Alecrim,2025-03-06 19:00:00,-5.79807,-35.21727,28.7,74.5
DIM,2025-03-06 19:00:00,-5.87995,-35.29499,27.4,NA
EAJ,2025-03-06 19:00:00,-5.88395,-35.36455,26.5,84.7
Extremoz,2025-03-06 19:00:00,-5.66732,-35.29729,28,NA
Felipe camarao,2025-03-06 19:00:00,-5.82232,-35.26118,28.2,75.5
IF Central,2025-03-06 19:00:00,-5.81187,-35.20221,28.7,78
IFZN,2025-03-06 19:00:00,-5.74779,-35.26025,28.7,70.4
Lagoa Azul,2025-03-06 19:00:00,-5.72888,-35.2489,28.4,NA
Parnamirim,2025-03-06 19:00:00,-5.93898,-35.266639,27.9,NA
Ponta Negra,2025-03-06 19:00:00,-5.87605,-35.17857,27.9,NA
Oceanografia,2025-03-06 19:00:00,-5.79524,-35.18359,29.1,77
Alecrim,2025-03-06 20:00:00,-5.79807,-35.21727,28.4,74.7
DIM,2025-03-06 20:00:00,-5.87995,-35.29499,27.1,NA
EAJ,2025-03-06 20:00:00,-5.88395,-35.36455,26.3,85.5
Extremoz,2025-03-06 20:00:00,-5.66732,-35.29729,27.7,NA
Felipe camarao,2025-03-06 20:00:00,-5.82232,-35.26118,28.2,74.9
IF Central,2025-03-06 20:00:00,-5.81187,-35.20221,28.5,81
IFZN,2025-03-06 20:00:00,-5.74779,-35.26025,28.6,69.5
Lagoa Azul,2025-03-06 20:00:00,-5.72888,-35.2489,28.2,NA
Parnamirim,2025-03-06 20:00:00,-5.93898,-35.266639,27.5,NA
Ponta Negra,2025-03-06 20:00:00,-5.87605,-35.17857,28.1,NA
Oceanografia,2025-03-06 20:00:00,-5.79524,-35.18359,28.7,78.5
Alecrim,2025-03-06 21:00:00,-5.79807,-35.21727,28.5,73.4
DIM,2025-03-06 21:00:00,-5.87995,-35.29499,26.8,NA
EAJ,2025-03-06 21:00:00,-5.88395,-35.36455,26.3,90.2
Extremoz,2025-03-06 21:00:00,-5.66732,-35.29729,27.6,NA
Felipe camarao,2025-03-06 21:00:00,-5.82232,-35.26118,26.8,85
IF Central,2025-03-06 21:00:00,-5.81187,-35.20221,28.4,79
IFZN,2025-03-06 21:00:00,-5.74779,-35.26025,28.6,69.2
Lagoa Azul,2025-03-06 21:00:00,-5.72888,-35.2489,28.2,NA
Parnamirim,2025-03-06 21:00:00,-5.93898,-35.266639,26.5,NA
Ponta Negra,2025-03-06 21:00:00,-5.87605,-35.17857,28,NA
Oceanografia,2025-03-06 21:00:00,-5.79524,-35.18359,29,76.4
Alecrim,2025-03-06 22:00:00,-5.79807,-35.21727,27.1,83.2
DIM,2025-03-06 22:00:00,-5.87995,-35.29499,25.4,NA
EAJ,2025-03-06 22:00:00,-5.88395,-35.36455,24.8,94.6
Extremoz,2025-03-06 22:00:00,-5.66732,-35.29729,27.4,NA
Felipe camarao,2025-03-06 22:00:00,-5.82232,-35.26118,26.1,87
IF Central,2025-03-06 22:00:00,-5.81187,-35.20221,26.9,89
IFZN,2025-03-06 22:00:00,-5.74779,-35.26025,27.8,76.7
Lagoa Azul,2025-03-06 22:00:00,-5.72888,-35.2489,27.9,NA
Parnamirim,2025-03-06 22:00:00,-5.93898,-35.266639,25.4,NA
Ponta Negra,2025-03-06 22:00:00,-5.87605,-35.17857,26.2,NA
Oceanografia,2025-03-06 22:00:00,-5.79524,-35.18359,27.9,83.1
Alecrim,2025-03-06 23:00:00,-5.79807,-35.21727,26.6,84.8
DIM,2025-03-06 23:00:00,-5.87995,-35.29499,25.2,NA
EAJ,2025-03-06 23:00:00,-5.88395,-35.36455,24.3,96.4
Extremoz,2025-03-06 23:00:00,-5.66732,-35.29729,26.3,NA
Felipe camarao,2025-03-06 23:00:00,-5.82232,-35.26118,25.8,87.9
IF Central,2025-03-06 23:00:00,-5.81187,-35.20221,26.4,90.5
IFZN,2025-03-06 23:00:00,-5.74779,-35.26025,26.6,80.9
Lagoa Azul,2025-03-06 23:00:00,-5.72888,-35.2489,26.2,NA
Parnamirim,2025-03-06 23:00:00,-5.93898,-35.266639,25.4,NA
Ponta Negra,2025-03-06 23:00:00,-5.87605,-35.17857,25.7,NA
Oceanografia,2025-03-06 23:00:00,-5.79524,-35.18359,27.1,86.1
Alecrim,2025-03-07 00:00:00,-5.79807,-35.21727,25.9,86.3
DIM,2025-03-07 00:00:00,-5.87995,-35.29499,24.6,NA
EAJ,2025-03-07 00:00:00,-5.88395,-35.36455,24.1,97
Extremoz,2025-03-07 00:00:00,-5.66732,-35.29729,25.4,NA
Felipe camarao,2025-03-07 00:00:00,-5.82232,-35.26118,25.3,88.7
IF Central,2025-03-07 00:00:00,-5.81187,-35.20221,26,91.3
IFZN,2025-03-07 00:00:00,-5.74779,-35.26025,26,82
Lagoa Azul,2025-03-07 00:00:00,-5.72888,-35.2489,25.4,NA
Parnamirim,2025-03-07 00:00:00,-5.93898,-35.266639,25.1,NA
Ponta Negra,2025-03-07 00:00:00,-5.87605,-35.17857,25.2,NA
Oceanografia,2025-03-07 00:00:00,-5.79524,-35.18359,26.5,87.7
Alecrim,2025-03-07 01:00:00,-5.79807,-35.21727,25.8,86.7
DIM,2025-03-07 01:00:00,-5.87995,-35.29499,24.6,NA
EAJ,2025-03-07 01:00:00,-5.88395,-35.36455,24.3,97
Extremoz,2025-03-07 01:00:00,-5.66732,-35.29729,25.1,NA
Felipe camarao,2025-03-07 01:00:00,-5.82232,-35.26118,25.2,89.3
IF Central,2025-03-07 01:00:00,-5.81187,-35.20221,25.8,92.4
IFZN,2025-03-07 01:00:00,-5.74779,-35.26025,25.8,82.4
Lagoa Azul,2025-03-07 01:00:00,-5.72888,-35.2489,25.3,NA
Parnamirim,2025-03-07 01:00:00,-5.93898,-35.266639,24.8,NA
Ponta Negra,2025-03-07 01:00:00,-5.87605,-35.17857,25.3,NA
Oceanografia,2025-03-07 01:00:00,-5.79524,-35.18359,26,90.5
Alecrim,2025-03-07 02:00:00,-5.79807,-35.21727,25.9,87.3
DIM,2025-03-07 02:00:00,-5.87995,-35.29499,24.3,NA
EAJ,2025-03-07 02:00:00,-5.88395,-35.36455,24.3,97.8
Extremoz,2025-03-07 02:00:00,-5.66732,-35.29729,24.8,NA
Felipe camarao,2025-03-07 02:00:00,-5.82232,-35.26118,25,90.6
IF Central,2025-03-07 02:00:00,-5.81187,-35.20221,25.8,93.1
IFZN,2025-03-07 02:00:00,-5.74779,-35.26025,25.8,82.7
Lagoa Azul,2025-03-07 02:00:00,-5.72888,-35.2489,25.2,NA
Parnamirim,2025-03-07 02:00:00,-5.93898,-35.266639,24.6,NA
Ponta Negra,2025-03-07 02:00:00,-5.87605,-35.17857,24.9,NA
Oceanografia,2025-03-07 02:00:00,-5.79524,-35.18359,25.8,92.6
Alecrim,2025-03-07 03:00:00,-5.79807,-35.21727,25.5,90
DIM,2025-03-07 03:00:00,-5.87995,-35.29499,24.1,NA
EAJ,2025-03-07 03:00:00,-5.88395,-35.36455,23.8,98.1
Extremoz,2025-03-07 03:00:00,-5.66732,-35.29729,24.7,NA
Felipe camarao,2025-03-07 03:00:00,-5.82232,-35.26118,24.9,91.3
IF Central,2025-03-07 03:00:00,-5.81187,-35.20221,25.3,96.1
IFZN,2025-03-07 03:00:00,-5.74779,-35.26025,25.3,84.8
Lagoa Azul,2025-03-07 03:00:00,-5.72888,-35.2489,24.7,NA
Parnamirim,2025-03-07 03:00:00,-5.93898,-35.266639,24.3,NA
Ponta Negra,2025-03-07 03:00:00,-5.87605,-35.17857,24.7,NA
Oceanografia,2025-03-07 03:00:00,-5.79524,-35.18359,25.9,93.6
Alecrim,2025-03-07 04:00:00,-5.79807,-35.21727,25.3,90.1
DIM,2025-03-07 04:00:00,-5.87995,-35.29499,23.8,NA
EAJ,2025-03-07 04:00:00,-5.88395,-35.36455,23.5,98.6
Extremoz,2025-03-07 04:00:00,-5.66732,-35.29729,24.5,NA
Felipe camarao,2025-03-07 04:00:00,-5.82232,-35.26118,24.7,91.6
IF Central,2025-03-07 04:00:00,-5.81187,-35.20221,25.1,96.1
IFZN,2025-03-07 04:00:00,-5.74779,-35.26025,25.3,85
Lagoa Azul,2025-03-07 04:00:00,-5.72888,-35.2489,24.6,NA
Parnamirim,2025-03-07 04:00:00,-5.93898,-35.266639,24,NA
Ponta Negra,2025-03-07 04:00:00,-5.87605,-35.17857,24.6,NA
Oceanografia,2025-03-07 04:00:00,-5.79524,-35.18359,25.8,93.7
Alecrim,2025-03-07 05:00:00,-5.79807,-35.21727,25.2,89.8
DIM,2025-03-07 05:00:00,-5.87995,-35.29499,23.8,NA
EAJ,2025-03-07 05:00:00,-5.88395,-35.36455,23.6,98.8
Extremoz,2025-03-07 05:00:00,-5.66732,-35.29729,24.3,NA
Felipe camarao,2025-03-07 05:00:00,-5.82232,-35.26118,24.5,92.1
IF Central,2025-03-07 05:00:00,-5.81187,-35.20221,25.1,95.4
IFZN,2025-03-07 05:00:00,-5.74779,-35.26025,25.1,85.3
Lagoa Azul,2025-03-07 05:00:00,-5.72888,-35.2489,24.7,NA
Parnamirim,2025-03-07 05:00:00,-5.93898,-35.266639,24,NA
Ponta Negra,2025-03-07 05:00:00,-5.87605,-35.17857,24.4,NA
Oceanografia,2025-03-07 05:00:00,-5.79524,-35.18359,25.7,93.8
Alecrim,2025-03-07 06:00:00,-5.79807,-35.21727,25.2,89.3
DIM,2025-03-07 06:00:00,-5.87995,-35.29499,23.8,NA
EAJ,2025-03-07 06:00:00,-5.88395,-35.36455,23.5,99
Extremoz,2025-03-07 06:00:00,-5.66732,-35.29729,24.2,NA
Felipe camarao,2025-03-07 06:00:00,-5.82232,-35.26118,24.6,92
IF Central,2025-03-07 06:00:00,-5.81187,-35.20221,25.2,95.1
IFZN,2025-03-07 06:00:00,-5.74779,-35.26025,25,85.6
Lagoa Azul,2025-03-07 06:00:00,-5.72888,-35.2489,24.6,NA
Parnamirim,2025-03-07 06:00:00,-5.93898,-35.266639,24,NA
Ponta Negra,2025-03-07 06:00:00,-5.87605,-35.17857,24.6,NA
Oceanografia,2025-03-07 06:00:00,-5.79524,-35.18359,25.8,94.1
Alecrim,2025-03-07 07:00:00,-5.79807,-35.21727,26.5,84.6
DIM,2025-03-07 07:00:00,-5.87995,-35.29499,24.9,NA
EAJ,2025-03-07 07:00:00,-5.88395,-35.36455,24.4,96.2
Extremoz,2025-03-07 07:00:00,-5.66732,-35.29729,25.2,NA
Felipe camarao,2025-03-07 07:00:00,-5.82232,-35.26118,25.8,88.7
IF Central,2025-03-07 07:00:00,-5.81187,-35.20221,25.9,92.3
IFZN,2025-03-07 07:00:00,-5.74779,-35.26025,26.5,82
Lagoa Azul,2025-03-07 07:00:00,-5.72888,-35.2489,26.1,NA
Parnamirim,2025-03-07 07:00:00,-5.93898,-35.266639,26.7,NA
Ponta Negra,2025-03-07 07:00:00,-5.87605,-35.17857,25.1,NA
Oceanografia,2025-03-07 07:00:00,-5.79524,-35.18359,26.9,90.6
Alecrim,2025-03-07 08:00:00,-5.79807,-35.21727,27.9,78
DIM,2025-03-07 08:00:00,-5.87995,-35.29499,26.2,NA
EAJ,2025-03-07 08:00:00,-5.88395,-35.36455,26.7,87.2
Extremoz,2025-03-07 08:00:00,-5.66732,-35.29729,29.5,NA
Felipe camarao,2025-03-07 08:00:00,-5.82232,-35.26118,28.4,81.3
IF Central,2025-03-07 08:00:00,-5.81187,-35.20221,27.2,88
IFZN,2025-03-07 08:00:00,-5.74779,-35.26025,28.9,76.2
Lagoa Azul,2025-03-07 08:00:00,-5.72888,-35.2489,28.4,NA
Parnamirim,2025-03-07 08:00:00,-5.93898,-35.266639,29.8,NA
Ponta Negra,2025-03-07 08:00:00,-5.87605,-35.17857,26.6,NA
Oceanografia,2025-03-07 08:00:00,-5.79524,-35.18359,28.7,85
Alecrim,2025-03-07 09:00:00,-5.79807,-35.21727,31.6,64.4
DIM,2025-03-07 09:00:00,-5.87995,-35.29499,29.8,NA
EAJ,2025-03-07 09:00:00,-5.88395,-35.36455,33.9,64.9
Extremoz,2025-03-07 09:00:00,-5.66732,-35.29729,33.1,NA
Felipe camarao,2025-03-07 09:00:00,-5.82232,-35.26118,30,71.3
IF Central,2025-03-07 09:00:00,-5.81187,-35.20221,32.8,70.7
IFZN,2025-03-07 09:00:00,-5.74779,-35.26025,30.8,66.3
Lagoa Azul,2025-03-07 09:00:00,-5.72888,-35.2489,30.8,NA
Parnamirim,2025-03-07 09:00:00,-5.93898,-35.266639,33.7,NA
Ponta Negra,2025-03-07 09:00:00,-5.87605,-35.17857,29,NA
Oceanografia,2025-03-07 09:00:00,-5.79524,-35.18359,33.5,71.4
Alecrim,2025-03-07 10:00:00,-5.79807,-35.21727,33.6,59
DIM,2025-03-07 10:00:00,-5.87995,-35.29499,33.6,NA
EAJ,2025-03-07 10:00:00,-5.88395,-35.36455,34.5,65.3
Extremoz,2025-03-07 10:00:00,-5.66732,-35.29729,34.4,NA
Felipe camarao,2025-03-07 10:00:00,-5.82232,-35.26118,31.2,67.9
IF Central,2025-03-07 10:00:00,-5.81187,-35.20221,33,70
IFZN,2025-03-07 10:00:00,-5.74779,-35.26025,32.3,58
Lagoa Azul,2025-03-07 10:00:00,-5.72888,-35.2489,31.7,NA
Parnamirim,2025-03-07 10:00:00,-5.93898,-35.266639,33.7,NA
Ponta Negra,2025-03-07 10:00:00,-5.87605,-35.17857,30,NA
Oceanografia,2025-03-07 10:00:00,-5.79524,-35.18359,34.2,69.7
Alecrim,2025-03-07 11:00:00,-5.79807,-35.21727,33.6,57.7
DIM,2025-03-07 11:00:00,-5.87995,-35.29499,34.3,NA
EAJ,2025-03-07 11:00:00,-5.88395,-35.36455,37,56.1
Extremoz,2025-03-07 11:00:00,-5.66732,-35.29729,34.7,NA
Felipe camarao,2025-03-07 11:00:00,-5.82232,-35.26118,31.5,64.5
IF Central,2025-03-07 11:00:00,-5.81187,-35.20221,33,67.4
IFZN,2025-03-07 11:00:00,-5.74779,-35.26025,32.7,57.5
Lagoa Azul,2025-03-07 11:00:00,-5.72888,-35.2489,33.6,NA
Parnamirim,2025-03-07 11:00:00,-5.93898,-35.266639,34.5,NA
Ponta Negra,2025-03-07 11:00:00,-5.87605,-35.17857,31.6,NA
Oceanografia,2025-03-07 11:00:00,-5.79524,-35.18359,35.5,62
Alecrim,2025-03-07 12:00:00,-5.79807,-35.21727,32.7,61.2
DIM,2025-03-07 12:00:00,-5.87995,-35.29499,35.4,NA
EAJ,2025-03-07 12:00:00,-5.88395,-35.36455,38.6,52.4
Extremoz,2025-03-07 12:00:00,-5.66732,-35.29729,36.2,NA
Felipe camarao,2025-03-07 12:00:00,-5.82232,-35.26118,32.5,60.3
IF Central,2025-03-07 12:00:00,-5.81187,-35.20221,35.3,61.3
IFZN,2025-03-07 12:00:00,-5.74779,-35.26025,33.5,56.8
Lagoa Azul,2025-03-07 12:00:00,-5.72888,-35.2489,34.5,NA
Parnamirim,2025-03-07 12:00:00,-5.93898,-35.266639,34.5,NA
Ponta Negra,2025-03-07 12:00:00,-5.87605,-35.17857,31.3,NA
Oceanografia,2025-03-07 12:00:00,-5.79524,-35.18359,35.7,57.1
Alecrim,2025-03-07 13:00:00,-5.79807,-35.21727,31.6,64.6
DIM,2025-03-07 13:00:00,-5.87995,-35.29499,33.7,NA
EAJ,2025-03-07 13:00:00,-5.88395,-35.36455,35.2,58.6
Extremoz,2025-03-07 13:00:00,-5.66732,-35.29729,36,NA
Felipe camarao,2025-03-07 13:00:00,-5.82232,-35.26118,31.9,62.9
IF Central,2025-03-07 13:00:00,-5.81187,-35.20221,33,66.1
IFZN,2025-03-07 13:00:00,-5.74779,-35.26025,32.1,61.4
Lagoa Azul,2025-03-07 13:00:00,-5.72888,-35.2489,33.3,NA
Parnamirim,2025-03-07 13:00:00,-5.93898,-35.266639,35.6,NA
Ponta Negra,2025-03-07 13:00:00,-5.87605,-35.17857,30.5,NA
Oceanografia,2025-03-07 13:00:00,-5.79524,-35.18359,33.7,58
Alecrim,2025-03-07 14:00:00,-5.79807,-35.21727,31.6,65.1
DIM,2025-03-07 14:00:00,-5.87995,-35.29499,37.4,NA
EAJ,2025-03-07 14:00:00,-5.88395,-35.36455,39,53.5
Extremoz,2025-03-07 14:00:00,-5.66732,-35.29729,33.8,NA
Felipe camarao,2025-03-07 14:00:00,-5.82232,-35.26118,33.1,59.7
IF Central,2025-03-07 14:00:00,-5.81187,-35.20221,35.3,62.4
IFZN,2025-03-07 14:00:00,-5.74779,-35.26025,32.7,58.7
Lagoa Azul,2025-03-07 14:00:00,-5.72888,-35.2489,34.7,NA
Parnamirim,2025-03-07 14:00:00,-5.93898,-35.266639,34.9,NA
Ponta Negra,2025-03-07 14:00:00,-5.87605,-35.17857,30.7,NA
Oceanografia,2025-03-07 14:00:00,-5.79524,-35.18359,35.7,51.6
Alecrim,2025-03-07 15:00:00,-5.79807,-35.21727,30.4,68.6
DIM,2025-03-07 15:00:00,-5.87995,-35.29499,36.6,NA
EAJ,2025-03-07 15:00:00,-5.88395,-35.36455,38.3,54.4
Extremoz,2025-03-07 15:00:00,-5.66732,-35.29729,31.8,NA
Felipe camarao,2025-03-07 15:00:00,-5.82232,-35.26118,31.1,63.8
IF Central,2025-03-07 15:00:00,-5.81187,-35.20221,31.8,71.6
IFZN,2025-03-07 15:00:00,-5.74779,-35.26025,31.3,63
Lagoa Azul,2025-03-07 15:00:00,-5.72888,-35.2489,31.3,NA
Parnamirim,2025-03-07 15:00:00,-5.93898,-35.266639,34.2,NA
Ponta Negra,2025-03-07 15:00:00,-5.87605,-35.17857,29.5,NA
Oceanografia,2025-03-07 15:00:00,-5.79524,-35.18359,32.3,61.9
Alecrim,2025-03-07 16:00:00,-5.79807,-35.21727,29.7,71.1
DIM,2025-03-07 16:00:00,-5.87995,-35.29499,34.6,NA
EAJ,2025-03-07 16:00:00,-5.88395,-35.36455,33.8,65.9
Extremoz,2025-03-07 16:00:00,-5.66732,-35.29729,30.9,NA
Felipe camarao,2025-03-07 16:00:00,-5.82232,-35.26118,30.3,67.7
IF Central,2025-03-07 16:00:00,-5.81187,-35.20221,31.8,71.4
IFZN,2025-03-07 16:00:00,-5.74779,-35.26025,30,66.7
Lagoa Azul,2025-03-07 16:00:00,-5.72888,-35.2489,30.5,NA
Parnamirim,2025-03-07 16:00:00,-5.93898,-35.266639,32.6,NA
Ponta Negra,2025-03-07 16:00:00,-5.87605,-35.17857,29.6,NA
Oceanografia,2025-03-07 16:00:00,-5.79524,-35.18359,32.4,58.8
Alecrim,2025-03-07 17:00:00,-5.79807,-35.21727,29.4,71.6
DIM,2025-03-07 17:00:00,-5.87995,-35.29499,30,NA
EAJ,2025-03-07 17:00:00,-5.88395,-35.36455,29.6,73
Extremoz,2025-03-07 17:00:00,-5.66732,-35.29729,29.2,NA
Felipe camarao,2025-03-07 17:00:00,-5.82232,-35.26118,29.3,72.3
IF Central,2025-03-07 17:00:00,-5.81187,-35.20221,30.4,74.7
IFZN,2025-03-07 17:00:00,-5.74779,-35.26025,29.6,67.6
Lagoa Azul,2025-03-07 17:00:00,-5.72888,-35.2489,29.3,NA
Parnamirim,2025-03-07 17:00:00,-5.93898,-35.266639,29.5,NA
Ponta Negra,2025-03-07 17:00:00,-5.87605,-35.17857,28.8,NA
