date,station,airT,Longitude,Latitude
2014-10-08T21:00:00Z,PAR,25.5,-37.05311,-10.88105
2014-10-08T22:00:00Z,PAR,23.5,-37.05311,-10.88105
2014-10-08T23:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-09T00:00:00Z,PAR,23.5,-37.05311,-10.88105
2014-10-09T01:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-09T02:00:00Z,PAR,21.3,-37.05311,-10.88105
2014-10-09T03:00:00Z,PAR,22.6,-37.05311,-10.88105
2014-10-09T04:00:00Z,PAR,21.7,-37.05311,-10.88105
2014-10-09T05:00:00Z,PAR,23.1,-37.05311,-10.88105
2014-10-09T06:00:00Z,PAR,21.9,-37.05311,-10.88105
2014-10-09T07:00:00Z,PAR,22.7,-37.05311,-10.88105
2014-10-09T08:00:00Z,PAR,22.9,-37.05311,-10.88105
2014-10-09T09:00:00Z,PAR,23.1,-37.05311,-10.88105
2014-10-09T10:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-09T11:00:00Z,PAR,23.7,-37.05311,-10.88105
2014-10-09T12:00:00Z,PAR,23.9,-37.05311,-10.88105
2014-10-09T13:00:00Z,PAR,24.8,-37.05311,-10.88105
2014-10-09T14:00:00Z,PAR,25.4,-37.05311,-10.88105
2014-10-09T15:00:00Z,PAR,26.3,-37.05311,-10.88105
2014-10-09T16:00:00Z,PAR,26.5,-37.05311,-10.88105
2014-10-09T17:00:00Z,PAR,26.5,-37.05311,-10.88105
2014-10-09T18:00:00Z,PAR,26.8,-37.05311,-10.88105
2014-10-09T19:00:00Z,PAR,25.7,-37.05311,-10.88105
2014-10-09T20:00:00Z,PAR,25.6,-37.05311,-10.88105
2014-10-09T21:00:00Z,PAR,25.5,-37.05311,-10.88105
2014-10-09T22:00:00Z,PAR,25.1,-37.05311,-10.88105
2014-10-09T23:00:00Z,PAR,24.5,-37.05311,-10.88105
2014-10-10T00:00:00Z,PAR,24.4,-37.05311,-10.88105
2014-10-10T01:00:00Z,PAR,22.8,-37.05311,-10.88105
2014-10-10T02:00:00Z,PAR,22.9,-37.05311,-10.88105
2014-10-10T03:00:00Z,PAR,23.3,-37.05311,-10.88105
2014-10-10T04:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-10T05:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-10T06:00:00Z,PAR,23.3,-37.05311,-10.88105
2014-10-10T07:00:00Z,PAR,23.2,-37.05311,-10.88105
2014-10-10T08:00:00Z,PAR,23.3,-37.05311,-10.88105
2014-10-10T09:00:00Z,PAR,23.7,-37.05311,-10.88105
2014-10-10T10:00:00Z,PAR,23.6,-37.05311,-10.88105
2014-10-10T11:00:00Z,PAR,23.6,-37.05311,-10.88105
2014-10-10T12:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-10T13:00:00Z,PAR,25.4,-37.05311,-10.88105
2014-10-10T14:00:00Z,PAR,26,-37.05311,-10.88105
2014-10-10T15:00:00Z,PAR,26.5,-37.05311,-10.88105
2014-10-10T16:00:00Z,PAR,26.2,-37.05311,-10.88105
2014-10-10T17:00:00Z,PAR,25.1,-37.05311,-10.88105
2014-10-10T18:00:00Z,PAR,23.2,-37.05311,-10.88105
2014-10-10T19:00:00Z,PAR,24.6,-37.05311,-10.88105
2014-10-10T20:00:00Z,PAR,23.7,-37.05311,-10.88105
2014-10-10T21:00:00Z,PAR,22.8,-37.05311,-10.88105
2014-10-10T22:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-10T23:00:00Z,PAR,24,-37.05311,-10.88105
2014-10-11T00:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-11T01:00:00Z,PAR,24.4,-37.05311,-10.88105
2014-10-11T02:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-11T03:00:00Z,PAR,23.3,-37.05311,-10.88105
2014-10-11T04:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-11T05:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-11T06:00:00Z,PAR,23.3,-37.05311,-10.88105
2014-10-11T07:00:00Z,PAR,23.3,-37.05311,-10.88105
2014-10-11T08:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-11T09:00:00Z,PAR,22.7,-37.05311,-10.88105
2014-10-11T10:00:00Z,PAR,22.6,-37.05311,-10.88105
2014-10-11T11:00:00Z,PAR,22.8,-37.05311,-10.88105
2014-10-11T12:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-11T13:00:00Z,PAR,25.9,-37.05311,-10.88105
2014-10-11T14:00:00Z,PAR,26.1,-37.05311,-10.88105
2014-10-11T15:00:00Z,PAR,25.6,-37.05311,-10.88105
2014-10-11T16:00:00Z,PAR,26.3,-37.05311,-10.88105
2014-10-11T17:00:00Z,PAR,27,-37.05311,-10.88105
2014-10-11T18:00:00Z,PAR,26.8,-37.05311,-10.88105
2014-10-11T19:00:00Z,PAR,26.5,-37.05311,-10.88105
2014-10-11T20:00:00Z,PAR,26.2,-37.05311,-10.88105
2014-10-11T21:00:00Z,PAR,25.4,-37.05311,-10.88105
2014-10-11T22:00:00Z,PAR,24.8,-37.05311,-10.88105
2014-10-11T23:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-12T00:00:00Z,PAR,23.9,-37.05311,-10.88105
2014-10-12T01:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-12T02:00:00Z,PAR,23.9,-37.05311,-10.88105
2014-10-12T03:00:00Z,PAR,23.9,-37.05311,-10.88105
2014-10-12T04:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-12T05:00:00Z,PAR,22.8,-37.05311,-10.88105
2014-10-12T06:00:00Z,PAR,23.2,-37.05311,-10.88105
2014-10-12T07:00:00Z,PAR,23.2,-37.05311,-10.88105
2014-10-12T08:00:00Z,PAR,22.4,-37.05311,-10.88105
2014-10-12T09:00:00Z,PAR,22.8,-37.05311,-10.88105
2014-10-12T10:00:00Z,PAR,22.4,-37.05311,-10.88105
2014-10-12T11:00:00Z,PAR,22.6,-37.05311,-10.88105
